source_repo	source_path	dest_path	source_commit	source_sha256	sanctioned_adapt	adapted_now
CH	tools/append_only_integrity.py	gates/append_only_integrity.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	672ae80f55121cf4ef8f0a4e20007484126082b80a7854d61794a91fc79f39d9	0	no
CH	tools/staging_guard.py	gates/staging_guard.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	22b96b030c714052a064bb9ec660c04592a5a25504605b9dc2d8fe88678507bb	0	no
CH	tools/file_foreclosure.py	filing/file_foreclosure.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	06830f58c08cef9e96e086e4c6fe0616e299281c858efc254b5027d829675228	0	no
CH	tools/file_rationalization.py	filing/file_rationalization.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	3030c0f24fc5d3f0b592b01da0e1e0f3f8d6f15f8f3ff9df181d6a95bde4200f	0	no
CH	tools/file_finding.py	filing/file_finding.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	41ad18a247f7c5c9e9fd7e8195ed211c749355d9d409af60672c3d013fb9df9c	0	no
CH	tools/persist_claude_ephemera.py	filing/persist_claude_ephemera.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	2e6fe8a7e7778e6e982ba82e83ddf84054de0259f6b2a06e846effeac22092a5	1	yes
CH	tools/file_resolution.py	filing/file_resolution.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	73ccdbb624be2f1eed40026af5da27fe09c624c72c76e400069cb35db25a257a	0	no
CH	tools/doc-legibility/README.md	gates/doc-legibility/README.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	463410156691f811f2d4e95ffc50c9dc6de6fc8b621a94aaecd2fc53b052becb	0	no
CH	tools/doc-legibility/allowlist.txt	gates/doc-legibility/allowlist.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	63f7a11ec6a6a601a8df1c9f36b5b5d324c43a4022915355b8eac3e84193b369	0	no
CH	tools/doc-legibility/check.py	gates/doc-legibility/check.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	0a9d098e9a9d06d799f128b1d38d86f787308fc44c450da50955b5ec6f9311fd	1	yes
CH	tools/doc-legibility/terms.md	gates/doc-legibility/terms.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	b15526c701ea0d90bbcb1711223bd353537cade1be2215ad4c1cee8d74de9875	0	no
CH	tools/hooks/pre-commit	hooks/pre-commit	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	f48fed906bb1abe23d178b3d19e528cc9ac95f5c521a728d7886a827b9c441b7	1	yes
CH	tools/hooks/stamp_provenance.py	hooks/stamp_provenance.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	97d113ee2cfd71066480544b70464f294a8967d49065763ccd9ebb830a0dac85	0	no
CH	docs/adr/0000-the-alpha-and-the-omega-type-driven-design.md	law/adr/0000-the-alpha-and-the-omega-type-driven-design.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	8d50eca9565a07acbdce2f2234fe830aa9593a6e6c1a9b837f8d488956402de5	0	no
CH	docs/adr/0001-immutability-and-copy-on-write.md	law/adr/0001-immutability-and-copy-on-write.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	812a1b9f0564a1c2f88c2696fb335f5c19329f80f6180149b8399d0de13c3ce5	0	no
CH	docs/adr/0002-fail-loudly.md	law/adr/0002-fail-loudly.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	4635df2ed8c785111fffb8ac4a85daf59d4d2f42fa3e599089ec332bc2962403	0	no
